...1,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
1,5140015361,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/245812900,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,NA,CO,NA,San Andrés y Providencia,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,13.376701,-81.346806,119,NA,NA,NA,NA,NA,2024-10-05T07:40:25Z,5,10,2024,2278861,2278861,HUMAN_OBSERVATION,iNaturalist,Observations,245812900,NA,Charlotte Kirchner,2024-10-05T20:19:43Z,CC_BY_4_0,Charlotte Kirchner,Charlotte Kirchner,NA,NA,2025-05-16T18:44:36Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
2,5087828808,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/265344283,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,NA,PA,NA,Kuna Yala,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,9.470128,-78.833528,836,NA,NA,NA,NA,NA,2025-03-13T14:45:28Z,13,3,2025,2278861,2278861,HUMAN_OBSERVATION,iNaturalist,Observations,265344283,NA,Pheonix Wyant,2025-03-15T01:01:54Z,CC_BY_NC_4_0,Pheonix Wyant,Pheonix Wyant,NA,NA,2025-05-16T21:50:20Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3,5025452493,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,NA,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,NA,CR,Cahuita,NA,PRESENT,NA,bb646dff-a905-4403-a49b-6d378c2cf0d9,9.737482,-82.817688,250,NA,NA,NA,NA,NA,2015-10-06T00:00:00Z,6,10,2015,2278861,2278861,HUMAN_OBSERVATION,NABU|naturgucker,NABU|naturgucker,154635967,NA,NA,NA,CC_BY_4_0,NA,539637721,NA,NA,2025-05-13T17:36:16Z,NA,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
4,5024185460,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,NA,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,NA,CR,Riff vor Puerto Viejo,NA,PRESENT,NA,bb646dff-a905-4403-a49b-6d378c2cf0d9,9.658663,-82.755898,250,NA,NA,NA,NA,NA,2015-10-05T00:00:00Z,5,10,2015,2278861,2278861,HUMAN_OBSERVATION,NABU|naturgucker,NABU|naturgucker,-1813595115,NA,NA,NA,CC_BY_4_0,NA,539637721,NA,NA,2025-05-13T17:35:43Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
5,4926239794,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/231141401,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,NA,PA,NA,Bocas del Toro,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,9.332753,-82.254184,97,NA,NA,NA,NA,NA,2024-07-07T14:56:38Z,7,7,2024,2278861,2278861,HUMAN_OBSERVATION,iNaturalist,Observations,231141401,NA,Pauline Walsh Jacobson,2024-08-11T19:32:01Z,CC_BY_4_0,Roger A. Morales-Flores,Roger A. Morales-Flores,NA,NA,2025-05-16T20:06:56Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
6,4919110059,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/232762244,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,NA,PA,NA,Bocas del Toro,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,9.191832,-82.158788,42,NA,NA,NA,NA,NA,2024-07-21T16:14:29Z,21,7,2024,2278861,2278861,HUMAN_OBSERVATION,iNaturalist,Observations,232762244,NA,Nikhil Reddy,2024-07-30T20:15:41Z,CC_BY_NC_4_0,Nikhil Reddy,Nikhil Reddy,NA,NA,2025-05-16T20:53:03Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
7,4875059039,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/175294674,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,NA,CO,NA,San Andrés y Providencia,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,12.545015,-81.707579,6181,NA,NA,NA,NA,NA,2022-01-01T22:45:00Z,1,1,2022,2278861,2278861,HUMAN_OBSERVATION,iNaturalist,Observations,175294674,NA,Jorge I. Merchán Mayorga,2023-07-29T18:04:18Z,CC_BY_NC_4_0,HUGO DAVID CAVERZASI,HUGO DAVID CAVERZASI,NA,NA,2025-05-16T19:18:36Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
8,4870037745,038f4398-50d3-4643-86f3-a0dceba96125,Invemar:MHNMC:Consec.80845:INVEQU5182,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,lucunter,SUBSPECIES,Echinometra lucunter lucunter,Echinometra lucunter lucunter,"(Linnaeus, 1758)",CO,Litoral externo a la bahía Tukakas - costado nororiental. Área 2 - Formaciones coralinas,La Guajira,PRESENT,1,f072f648-b8a4-47a0-9e1c-89d790645b5a,11.90638,-71.28148,30,NA,NA,NA,2.5,0.5,2023-04-20T00:00:00Z,20,4,2023,7189075,2278861,HUMAN_OBSERVATION,Instituto de Investigaciones Marinas y Costeras José Benito Vives de Andreis (INVEMAR),MHNMC,INV EQU5182,2CE720,Giomar Helena Borrero Pérez,2023-08-28T00:00:00Z,CC_BY_NC_4_0,INVEMAR,Cristina Maria Cedeño Posso;Vanessa Yepes Narváez;Juliana Valentina Sánchez Muñoz,NA,NA,2025-01-31T17:08:53Z,NA,NA
9,4512268920,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/196477019,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,NA,CO,NA,Magdalena,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,11.21577,-74.233455,240,NA,NA,NA,NA,NA,2019-05-06T10:14:00Z,6,5,2019,2278861,2278861,HUMAN_OBSERVATION,iNaturalist,Observations,196477019,NA,Jorge I. Merchán Mayorga,2024-01-13T14:29:29Z,CC_BY_4_0,Elkin Meriño,Elkin Meriño,NA,NA,2025-05-16T19:48:32Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
10,4438899775,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/189663209,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,NA,CR,NA,Limón,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,9.66316,-82.74869,2484,NA,NA,NA,NA,NA,2022-04-23T00:16:00Z,23,4,2022,2278861,2278861,HUMAN_OBSERVATION,iNaturalist,Observations,189663209,NA,Fishipedia,2023-11-01T14:00:07Z,CC_BY_NC_4_0,Fishipedia,Fishipedia,NA,NA,2025-05-16T21:29:59Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
